Location,Production,Startup
Rueras,1.5,1979
Sedrun,2,1945
Sedrun,150,1968
Sedrun,0.75,1968
Tavanasa,180,1962
Somvix,24.87,1947
Trun,4.23,1999
Trun,0.6,1943
"Dardin, Casut",0.4,2008
Tavanasa,4,1946
"Obersaxen, St. Joseph",4.26,2017
Tavanasa,12.5,1960
Waltensburg,5.1,1973
Ilanz,34.5,1990
Ilanz,49.5,1992
"Vals, Staumauer Zervreila",22,1958
Safien Platz,90,1957
Rothenbrunnen,135,1958
Rothenbrunnen,26,1949
"St. Martin, Lunschania",0.94,1996
Sagogn,2.82,1963
Flims,2.62,2012
Flims,0.64,2012
Flims,0.3,2013
Flims,1.73,1904
Flims,0.88,2011
Flims,0.28,2011
Trin Mulin,1.6,1907
Trin,6.48,1944
Ausserferrera,180,1962
Ausserferrera,4.4,1963
Nufenen,0.3,2009
Splügen,1.8,2012
Sufers,0.71,1990
Andeer,220,1962
Andeer,1.6,1968
"Sils, Nisellas",247,1961
Thusis,4.6,1968
Preda bei Bergün,0.9,1903
"Davos, Frauenkirch",0.7,1894
"Davos, Glaris",1.13,1899
Filisur,65,1967
Tiefencastel,24,1989
Bivio,0.65,1936
Tinizong-Rona,7,2016
Tinizong,69.5,1954
Riom - Parsonz,1.59,2011
Tiefencastel,52,1970
Tiefencastel,26,1949
Vaz/Obervaz,7.3,1920
Sils im Domleschg,26,1910
Rothenbrunnen,44,1976
Domat-Ems,19.06,1962
Litzirüti,5,1969
"Lüen, Tewald",3.55,2013
"Lüen, Tewald",7.2,1914
"Chur, Sand",9.4,1947
"Chur, Sand",0.71,1892
"Churwalden, Bärgliwäg",0.4,2018
Klosters,16.5,1925
Klosters-Dorf,6.1,1928
Küblis,45.6,1922
Seewis,11.33,2011
Landquart-Fabriken,0.5,1901
Landquart-Fabriken,0.71,1988
Vadura,279.9,1977
Bad Ragaz,90,1978
Ragaz,0.7,1892
Jenins,0.46,1997
Vilters,1.2,1982
"Wangs, Gaschiels",0.7,1950
Sevelen,1.14,1897
"Buchs, Waldrand",0.98,1987
"Buchs, Steig - Aspenhölzli",0.69,1903
"Buchs, Altendorf",3.56,1928
"Grabs, Bannwald",0.44,1959
"Grabs, Löchli",1.43,1899
Sennwald,1.22,1912
Lienz,0.38,1906
"Oberriet, Blatten",0.38,1906
Montlingen,0.38,1906
"Heiden, Hinterlochen",0.72,1902
"Untereggen, Lochmüli",0.63,1898
Steinach,1.2,2014
Schaffhausen,28.9,1964
Schaffhausen,5,1909
Neuhausen,5.6,1951
Rheinau,36.8,1956
"Nesslau, unterer Giessenfall",1.9,1896
"Nesslau, Schneit",1.25,1909
Krummenau,0.84,1945
"Trempel, Ebnat-Kappel",1.8,1925
Ebnat - Kappel,0.86,1903
Lichtensteig,0.57,1820
Bütschwil,0.98,1861
Bütschwil,0.98,1917
Mülau bei Bazenheid Kirchberg,1.37,1865
Glattmüli,0.35,1893
Bischofszell,1.02,1864
Rässenaueli,2.5,1905
Urnäsch,0.38,1903
Urnäsch,0.36,1907
St. Gallen,15,1900
"St. Gallen, Sittertal",0.46,1945
St. Gallen,0.3,2008
Wittenbach,0.48,1895
Schönenberg,1.7,2011
